,name,post at,tweets,tweets_clean,sentiment
0,ballambinlove,2022-03-03,"@marlina_idha Pada 1999, Malaysia memutuskan untuk memindahkan Ibu Kota Negaranya ke Putrajaya sebagai kota administratif. Namun pemindahan tersebut dinilai gagal karena pegawai pemerintah Malaysia enggan pindah ke ibu kota negara baru. https://t.co/Mpako7hXch",malaysia memutuskan memindahkan ibu kota negaranya putrajaya kota administratif pemindahan tersebut dinilai gagal pegawai pemerintah malaysia enggan pindah ibu kota negara baru,negatif
1,MongabayID,2022-03-03,Pesisir Ibu Kota Negara Baru Dijanjikan Akan Berkelanjutan https://t.co/Er1bCIFtnV,pesisir ibu kota negara baru dijanjikan berkelanjutan,positif
2,QueenDibaaa,2022-03-03,Irjen Dedi mengatakan tak ada personel Polri yang menolak Ibu Kota Negara (IKN) baru seperti yang disinggung Jokowi. Irjen Dedi mengatakan personel Polri setia dengan perintah pimpinan. https://t.co/qwKCNxHqjI,irjen dedi mengatakan tak personel polri menolak ibu kota negara ibu kota negara baru disinggung jokowi irjen dedi mengatakan personel polri setia perintah pimpinan,negatif
3,haibundacom,2022-03-03,"Besaran tunjangan Pegawai Negeri Sipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) baru kabarnya bakal berubah menyesuaikan kebutuhan di sana, Bunda. https://t.co/AKkkzrsOps",besaran tunjangan pegawai negeri sipil pns pindah ibu kota negara ibu kota negara baru kabarnya bakal berubah menyesuaikan kebutuhan sana bunda,netral
4,gadisresidu_b3,2022-03-03,"8.harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru.

• Mayoritas warga juga lebih setuju bahwa pergantian kepemimpinan nasional melalui Pemilu 2024",mengakhiri masa jabatannya sesuai konstitusi berkisar baik alasan pandemi pemulihan ekonomi akibat pandemi pembangunan ibu kota negara baru mayoritas warga lebih setuju pergantian kepemimpinan nasional melalui pemilu,positif
5,KompasData,2022-03-03,"Pemindahan Ibu Kota Negara bertujuan untuk menekan kesenjangan perekonomian Jawa dan Luar Jawa. Belajar dari Brasil, pemindahan ibu kota perlu juga mewaspadai kemungkinan munculnya kesenjangan baru. @atmoberkicau #LitbangKompas #Kompaspedia #AdadiKompas https://t.co/pxFY8fkk2T",pemindahan ibu kota negara bertujuan menekan kesenjangan perekonomian jawa luar jawa belajar brasil pemindahan ibu kota perlu mewaspadai kemungkinan munculnya kesenjangan baru litbangkompas kompaspedia adadikompas,negatif
6,YusufPulungan,2022-03-03,Ibu Kota  Negara  (IKN) Baru Bukan Untuk Rakyat Tapi Proyek Oligarki Kap... https://t.co/lyTsxKJ0PV lewat @YouTube,ibu kota negara ibu kota negara baru bukan rakyat proyek oligarki kap lewat,netral
7,TRIOKWEKKWEKkI2,2022-03-03,"@KangUtang04 @freedoml4nd3535 @L42454thie @negri_dongeng08 @JamanEdan543123 @SayRi31180709 @ManiseWidiarti @FattiReyz @M898black_Arrow @Cint4N @Ikotjo @Sis885 @Hilang8281 @PutraRa33763114 PEMERINTAHAN JOKOWI INI UDAH TUMBANG KAN, BOKEK KAN?

Mana pemerintahan barunya? Segera pilih presiden baru lah.

Butuh Uang Rp1000 Triliun Demi Ibu Kota Baru, Pemerintah Jual Tanah Negara https://t.co/zZtoCmZrKM

#PresidenPengkhianatNegara",pemerintahan jokowi udah tumbang kan bokek kan mana pemerintahan barunya segera pilih presiden baru lah butuh uang rp triliun ibu kota baru pemerintah jual tanah negara presidenpengkhianatnegara,negatif
8,Beritasatu,2022-03-03,"Menko Marves Luhut menawarkan Pangeran Salman peluang investasi dalam pembangunan Ibu Kota Negara baru, energi baru dan terbarukan, dll.

Selengkapnya: 👇 #IbuKotaNegara https://t.co/nglgjE3frC",menko marves luhut menawarkan pangeran salman peluang investasi pembangunan ibu kota negara baru energi baru terbarukan selengkapnya ibu kota negara,positif
9,demokrasicoid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/QZWwuFAuih,ketua mpr jangan rusak hutan membangun ibu kota negara baru,netral
10,UdaDalias,2022-03-03,"Temuan:
1. Mayoritas warga menolak perpanjangan masa jabatan presiden sehingga Presiden Joko Widodo harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru.",temuan mayoritas warga menolak perpanjangan masa jabatan presiden presiden joko widodo mengakhiri masa jabatannya sesuai konstitusi berkisar baik alasan pandemi pemulihan ekonomi akibat pandemi pembangunan ibu kota negara baru,positif
