,name,post at,tweets,tweets_clean,topic_0,topic_1,topic_2,topic_3,topic_4
0,ballambinlove,2022-03-03,"@marlina_idha Pada 1999, Malaysia memutuskan untuk memindahkan Ibu Kota Negaranya ke Putrajaya sebagai kota administratif. Namun pemindahan tersebut dinilai gagal karena pegawai pemerintah Malaysia enggan pindah ke ibu kota negara baru. https://t.co/Mpako7hXch",malaysia memutuskan memindahkan ibu kota negaranya putrajaya kota administratif pemindahan tersebut dinilai gagal pegawai pemerintah malaysia enggan pindah ibu kota negara baru,0.29099252820014954,0.6347787380218506,0.0,0.0,0.06040287762880325
1,MongabayID,2022-03-03,Pesisir Ibu Kota Negara Baru Dijanjikan Akan Berkelanjutan https://t.co/Er1bCIFtnV,pesisir ibu kota negara baru dijanjikan berkelanjutan,0.18154188990592957,0.763771653175354,0.021963059902191162,0.01779203489422798,0.014931385405361652
2,QueenDibaaa,2022-03-03,Irjen Dedi mengatakan tak ada personel Polri yang menolak Ibu Kota Negara (IKN) baru seperti yang disinggung Jokowi. Irjen Dedi mengatakan personel Polri setia dengan perintah pimpinan. https://t.co/qwKCNxHqjI,irjen dedi mengatakan tak personel polri menolak ibu kota negara ibu kota negara baru disinggung jokowi irjen dedi mengatakan personel polri setia perintah pimpinan,0.01904110237956047,0.0,0.0,0.9597095251083374,0.0
3,haibundacom,2022-03-03,"Besaran tunjangan Pegawai Negeri Sipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) baru kabarnya bakal berubah menyesuaikan kebutuhan di sana, Bunda. https://t.co/AKkkzrsOps",besaran tunjangan pegawai negeri sipil pns pindah ibu kota negara ibu kota negara baru kabarnya bakal berubah menyesuaikan kebutuhan sana bunda,0.23337939381599426,0.7467404007911682,0.0,0.0,0.0
4,gadisresidu_b3,2022-03-03,"8.harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru.

• Mayoritas warga juga lebih setuju bahwa pergantian kepemimpinan nasional melalui Pemilu 2024",mengakhiri masa jabatannya sesuai konstitusi berkisar baik alasan pandemi pemulihan ekonomi akibat pandemi pembangunan ibu kota negara baru mayoritas warga lebih setuju pergantian kepemimpinan nasional melalui pemilu,0.061778318136930466,0.9226034283638,0.0,0.0,0.0
5,KompasData,2022-03-03,"Pemindahan Ibu Kota Negara bertujuan untuk menekan kesenjangan perekonomian Jawa dan Luar Jawa. Belajar dari Brasil, pemindahan ibu kota perlu juga mewaspadai kemungkinan munculnya kesenjangan baru. @atmoberkicau #LitbangKompas #Kompaspedia #AdadiKompas https://t.co/pxFY8fkk2T",pemindahan ibu kota negara bertujuan menekan kesenjangan perekonomian jawa luar jawa belajar brasil pemindahan ibu kota perlu mewaspadai kemungkinan munculnya kesenjangan baru litbangkompas kompaspedia adadikompas,0.014053813181817532,0.8661853075027466,0.0,0.0,0.10753002762794495
6,YusufPulungan,2022-03-03,Ibu Kota  Negara  (IKN) Baru Bukan Untuk Rakyat Tapi Proyek Oligarki Kap... https://t.co/lyTsxKJ0PV lewat @YouTube,ibu kota negara ibu kota negara baru bukan rakyat proyek oligarki kap lewat,0.15931975841522217,0.8094282746315002,0.012551499530673027,0.010168017819523811,0.0
7,TRIOKWEKKWEKkI2,2022-03-03,"@KangUtang04 @freedoml4nd3535 @L42454thie @negri_dongeng08 @JamanEdan543123 @SayRi31180709 @ManiseWidiarti @FattiReyz @M898black_Arrow @Cint4N @Ikotjo @Sis885 @Hilang8281 @PutraRa33763114 PEMERINTAHAN JOKOWI INI UDAH TUMBANG KAN, BOKEK KAN?

Mana pemerintahan barunya? Segera pilih presiden baru lah.

Butuh Uang Rp1000 Triliun Demi Ibu Kota Baru, Pemerintah Jual Tanah Negara https://t.co/zZtoCmZrKM

#PresidenPengkhianatNegara",pemerintahan jokowi udah tumbang kan bokek kan mana pemerintahan barunya segera pilih presiden baru lah butuh uang rp triliun ibu kota baru pemerintah jual tanah negara presidenpengkhianatnegara,0.5306382179260254,0.45371612906455994,0.0,0.0,0.0
8,Beritasatu,2022-03-03,"Menko Marves Luhut menawarkan Pangeran Salman peluang investasi dalam pembangunan Ibu Kota Negara baru, energi baru dan terbarukan, dll.

Selengkapnya: 👇 #IbuKotaNegara https://t.co/nglgjE3frC",menko marves luhut menawarkan pangeran salman peluang investasi pembangunan ibu kota negara baru energi baru terbarukan selengkapnya ibu kota negara,0.37543076276779175,0.6037403345108032,0.0,0.0,0.0
9,demokrasicoid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/QZWwuFAuih,ketua mpr jangan rusak hutan membangun ibu kota negara baru,0.08562078326940536,0.022029390558600426,0.0159721989184618,0.6492247581481934,0.22715283930301666
10,UdaDalias,2022-03-03,"Temuan:
1. Mayoritas warga menolak perpanjangan masa jabatan presiden sehingga Presiden Joko Widodo harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru.",temuan mayoritas warga menolak perpanjangan masa jabatan presiden presiden joko widodo mengakhiri masa jabatannya sesuai konstitusi berkisar baik alasan pandemi pemulihan ekonomi akibat pandemi pembangunan ibu kota negara baru,0.14606235921382904,0.8042162656784058,0.0,0.03988487645983696,0.0
11,azkadotid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/eBBDfACelq,ketua mpr jangan rusak hutan membangun ibu kota negara baru,0.08520197123289108,0.022029083222150803,0.01597220078110695,0.6493917107582092,0.22740502655506134
12,KATADATAcoid,2022-03-03,"Menko Marves Luhut Binsar Pandjaitan menjajaki peluang investasi Arab Saudi untuk sejumlah proyek di Indonesia, termasuk pembangunan Ibu Kota Negara (IKN) baru.

 https://t.co/2qjda42Rsn",menko marves luhut binsar pandjaitan menjajaki peluang investasi arab saudi sejumlah proyek indonesia termasuk pembangunan ibu kota negara ibu kota negara baru,0.2151934802532196,0.7657886743545532,0.0,0.0,0.0
13,rumah123,2022-03-03,Mau tau seperti apa pembangunan di ibu kota negara baru? Smart forest city jadi pilihannya. Seperti apa ya? https://t.co/Y9f5hE0dOF #123Info #Rumah123 #Rumah123Info,mau tau apa pembangunan ibu kota negara baru smart forest city jadi pilihannya apa info rumah rumah info,0.9072631597518921,0.06972198188304901,0.0,0.0,0.0
14,GitaAmanyyy,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/diK5mLm7NC",kepala bin bicara intelligent city ibu kota negara baru,0.04274565353989601,0.9135110974311829,0.01756933331489563,0.014230761677026749,0.01194317452609539
15,MahmudinAhmad5,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/IrIX03mQYd",kepala bin bicara intelligent city ibu kota negara baru,0.042669735848903656,0.9135870337486267,0.01756933331489563,0.014230764470994473,0.011943175457417965
16,GrizelleJovank4,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Qm6F1NL1NK
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.0296655111014843,0.9366867542266846,0.013514872640371323,0.010943449102342129,0.0
17,MaulaSani1,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Vd5D6eTiRW",kepala bin bicara intelligent city ibu kota negara baru,0.0426829569041729,0.9135737419128418,0.01756933331489563,0.014230762608349323,0.01194317452609539
18,ZonaWajibSenyum,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/fmcFWw2juX
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029620947316288948,0.9367313385009766,0.013514870777726173,0.010943450033664703,0.0
19,VianieRiska,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/X2Wa9FbNI8
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029659517109394073,0.9366927742958069,0.013514872640371323,0.010943449102342129,0.0
20,Amir221udin,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/5lpXM5AQCj",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.02965114824473858,0.9367011189460754,0.013514873571693897,0.010943450033664703,0.0
21,AlmirRisa,2022-03-03,"@catatankaqihati Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/s1LuilaVn2",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029636245220899582,0.9367160201072693,0.013514872640371323,0.010943449102342129,0.0
22,Codett1111,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/sDiWQcKNdK
..
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029655929654836655,0.9366963505744934,0.013514873571693897,0.010943450033664703,0.0
23,NttInfo,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor 
https://t.co/Da1SeG1uH1",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.02963826060295105,0.9367140531539917,0.013514870777726173,0.010943448171019554,0.0
24,AcengGoceng19,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/QB1HmkUFYE",kepala bin bicara intelligent city ibu kota negara baru,0.04274681955575943,0.9135098457336426,0.01756933331489563,0.014230761677026749,0.01194317452609539
25,sakti_gundala,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/PJ3cwq0hSx",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.02962099015712738,0.9367312788963318,0.013514872640371323,0.010943450964987278,0.0
26,DaraSagita99,2022-03-03,IBU KOTA NEGARA di Kalimantan Timur nantinya akan merepresentasikan Indonesia sehingga akan dibangun dengan konsep smart and green city dgn memanfaatkan energi baru dan terbarukan. https://t.co/LRzkq76FsF,ibu kota negara kalimantan timur nantinya merepresentasikan indonesia dibangun konsep smart and green city dgn memanfaatkan energi baru terbarukan,0.912186861038208,0.06594842672348022,0.0,0.0,0.0
27,WulanRestu2,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor 
https://t.co/BFZu6QNDcG",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029645217582583427,0.936707079410553,0.013514872640371323,0.010943449102342129,0.0
28,MandaraResi,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor 
https://t.co/H7pJGwVAwn",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029624227434396744,0.9367280602455139,0.013514873571693897,0.010943450964987278,0.0
29,RidhoIl54292846,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/E5Vg1oSjHf",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.02963424287736416,0.9367181062698364,0.013514873571693897,0.010943450033664703,0.0
30,KozukoVm,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/JflTKCv63w",kepala bin bicara intelligent city ibu kota negara baru,0.042697131633758545,0.9135595560073853,0.01756933331489563,0.014230764470994473,0.011943175457417965
31,BaubauC,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/m1Uyv4r7qt https://t.co/GGfk7wB5uL",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.02963460050523281,0.936717689037323,0.013514873571693897,0.010943450033664703,0.0
32,Rikayanti25,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/N3KlFA95gm
Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029641402885317802,0.9367108941078186,0.013514873571693897,0.010943450033664703,0.0
33,MilleniaPretty,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/sOygCKxeJ1",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029638951644301414,0.9367133378982544,0.013514870777726173,0.010943448171019554,0.0
34,WilonaAnastasy2,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/KoHHLxFNVQ",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,0.029638485983014107,0.9367138147354126,0.013514873571693897,0.010943450033664703,0.0
35,AsiyahFebri,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/EGEBd6b035",kepala bin bicara intelligent city ibu kota negara baru,0.04276982694864273,0.913486897945404,0.01756933331489563,0.014230762608349323,0.01194317452609539
