,name,post at,tweets
0,ballambinlove,2022-03-03,"@marlina_idha Pada 1999, Malaysia memutuskan untuk memindahkan Ibu Kota Negaranya ke Putrajaya sebagai kota administratif. Namun pemindahan tersebut dinilai gagal karena pegawai pemerintah Malaysia enggan pindah ke ibu kota negara baru. https://t.co/Mpako7hXch"
1,MongabayID,2022-03-03,Pesisir Ibu Kota Negara Baru Dijanjikan Akan Berkelanjutan https://t.co/Er1bCIFtnV
2,QueenDibaaa,2022-03-03,Irjen Dedi mengatakan tak ada personel Polri yang menolak Ibu Kota Negara (IKN) baru seperti yang disinggung Jokowi. Irjen Dedi mengatakan personel Polri setia dengan perintah pimpinan. https://t.co/qwKCNxHqjI
3,haibundacom,2022-03-03,"Besaran tunjangan Pegawai Negeri Sipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) baru kabarnya bakal berubah menyesuaikan kebutuhan di sana, Bunda. https://t.co/AKkkzrsOps"
4,gadisresidu_b3,2022-03-03,"8.harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru.

• Mayoritas warga juga lebih setuju bahwa pergantian kepemimpinan nasional melalui Pemilu 2024"
5,KompasData,2022-03-03,"Pemindahan Ibu Kota Negara bertujuan untuk menekan kesenjangan perekonomian Jawa dan Luar Jawa. Belajar dari Brasil, pemindahan ibu kota perlu juga mewaspadai kemungkinan munculnya kesenjangan baru. @atmoberkicau #LitbangKompas #Kompaspedia #AdadiKompas https://t.co/pxFY8fkk2T"
6,YusufPulungan,2022-03-03,Ibu Kota  Negara  (IKN) Baru Bukan Untuk Rakyat Tapi Proyek Oligarki Kap... https://t.co/lyTsxKJ0PV lewat @YouTube
7,TRIOKWEKKWEKkI2,2022-03-03,"@KangUtang04 @freedoml4nd3535 @L42454thie @negri_dongeng08 @JamanEdan543123 @SayRi31180709 @ManiseWidiarti @FattiReyz @M898black_Arrow @Cint4N @Ikotjo @Sis885 @Hilang8281 @PutraRa33763114 PEMERINTAHAN JOKOWI INI UDAH TUMBANG KAN, BOKEK KAN?

Mana pemerintahan barunya? Segera pilih presiden baru lah.

Butuh Uang Rp1000 Triliun Demi Ibu Kota Baru, Pemerintah Jual Tanah Negara https://t.co/zZtoCmZrKM

#PresidenPengkhianatNegara"
8,Beritasatu,2022-03-03,"Menko Marves Luhut menawarkan Pangeran Salman peluang investasi dalam pembangunan Ibu Kota Negara baru, energi baru dan terbarukan, dll.

Selengkapnya: 👇 #IbuKotaNegara https://t.co/nglgjE3frC"
9,demokrasicoid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/QZWwuFAuih
10,UdaDalias,2022-03-03,"Temuan:
1. Mayoritas warga menolak perpanjangan masa jabatan presiden sehingga Presiden Joko Widodo harus mengakhiri masa jabatannya pada 2024 sesuai konstitusi (berkisar 68-71%), baik karena alasan pandemi, pemulihan ekonomi akibat pandemi, atau pembangunan Ibu Kota Negara baru."
11,azkadotid,2022-03-03,Ketua MPR: Jangan Rusak Hutan Dalam Membangun Ibu Kota Negara Baru https://t.co/eBBDfACelq
12,KATADATAcoid,2022-03-03,"Menko Marves Luhut Binsar Pandjaitan menjajaki peluang investasi Arab Saudi untuk sejumlah proyek di Indonesia, termasuk pembangunan Ibu Kota Negara (IKN) baru.

 https://t.co/2qjda42Rsn"
13,rumah123,2022-03-03,Mau tau seperti apa pembangunan di ibu kota negara baru? Smart forest city jadi pilihannya. Seperti apa ya? https://t.co/Y9f5hE0dOF #123Info #Rumah123 #Rumah123Info
14,GitaAmanyyy,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/diK5mLm7NC"
15,MahmudinAhmad5,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/IrIX03mQYd"
16,GrizelleJovank4,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Qm6F1NL1NK
Prokes Jangan Kendor"
17,MaulaSani1,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Vd5D6eTiRW"
18,ZonaWajibSenyum,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/fmcFWw2juX
Prokes Jangan Kendor"
19,VianieRiska,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/X2Wa9FbNI8
Prokes Jangan Kendor"
20,Amir221udin,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/5lpXM5AQCj"
21,AlmirRisa,2022-03-03,"@catatankaqihati Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/s1LuilaVn2"
22,Codett1111,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/sDiWQcKNdK
..
Prokes Jangan Kendor"
23,NttInfo,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru. Prokes Jangan Kendor 
https://t.co/Da1SeG1uH1"
24,AcengGoceng19,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/QB1HmkUFYE"
