validation_sets,topics,alpha,beta,coherence
75% Corpus,2,0.01,0.01,0.3911158395651378
75% Corpus,2,0.01,0.21000000000000002,0.39970081280042724
75% Corpus,2,0.01,0.41000000000000003,0.3864500823942381
75% Corpus,2,0.01,0.6100000000000001,0.38094590303192605
75% Corpus,2,0.01,0.81,0.33860990796884805
75% Corpus,2,0.01,symmetric,0.34586992230840663
75% Corpus,2,0.21000000000000002,0.01,0.3436575636774454
75% Corpus,2,0.21000000000000002,0.21000000000000002,0.32957954437207726
75% Corpus,2,0.21000000000000002,0.41000000000000003,0.32560633055042787
75% Corpus,2,0.21000000000000002,0.6100000000000001,0.32620744178481864
75% Corpus,2,0.21000000000000002,0.81,0.32620744178481864
75% Corpus,2,0.21000000000000002,symmetric,0.32560633055042787
75% Corpus,2,0.41000000000000003,0.01,0.3800034643148671
75% Corpus,2,0.41000000000000003,0.21000000000000002,0.37821285416757566
75% Corpus,2,0.41000000000000003,0.41000000000000003,0.3569106754732454
75% Corpus,2,0.41000000000000003,0.6100000000000001,0.3452074011515194
75% Corpus,2,0.41000000000000003,0.81,0.36771738358504724
75% Corpus,2,0.41000000000000003,symmetric,0.35204115298352445
75% Corpus,2,0.6100000000000001,0.01,0.37357700227218194
75% Corpus,2,0.6100000000000001,0.21000000000000002,0.38054709182437774
75% Corpus,2,0.6100000000000001,0.41000000000000003,0.34557893856800426
75% Corpus,2,0.6100000000000001,0.6100000000000001,0.35533618521130744
75% Corpus,2,0.6100000000000001,0.81,0.35533618521130744
75% Corpus,2,0.6100000000000001,symmetric,0.3642015936474634
75% Corpus,2,0.81,0.01,0.373577002272182
75% Corpus,2,0.81,0.21000000000000002,0.3661014208380471
75% Corpus,2,0.81,0.41000000000000003,0.33527498114173593
75% Corpus,2,0.81,0.6100000000000001,0.3320863852460643
75% Corpus,2,0.81,0.81,0.3175192267878866
75% Corpus,2,0.81,symmetric,0.33527498114173593
75% Corpus,2,symmetric,0.01,0.37357700227218194
75% Corpus,2,symmetric,0.21000000000000002,0.3661014208380471
75% Corpus,2,symmetric,0.41000000000000003,0.354414283177655
75% Corpus,2,symmetric,0.6100000000000001,0.337966010205842
75% Corpus,2,symmetric,0.81,0.35533618521130744
75% Corpus,2,symmetric,symmetric,0.3411760517635162
75% Corpus,2,asymmetric,0.01,0.35154185745012934
75% Corpus,2,asymmetric,0.21000000000000002,0.3506491271612007
75% Corpus,2,asymmetric,0.41000000000000003,0.32799886394813543
75% Corpus,2,asymmetric,0.6100000000000001,0.32016024683006283
75% Corpus,2,asymmetric,0.81,0.32016024683006283
75% Corpus,2,asymmetric,symmetric,0.3279988639481355
75% Corpus,3,0.01,0.01,0.28139667989719835
75% Corpus,3,0.01,0.21000000000000002,0.32213386842538055
75% Corpus,3,0.01,0.41000000000000003,0.2872477726722084
75% Corpus,3,0.01,0.6100000000000001,0.30963262402296876
75% Corpus,3,0.01,0.81,0.3065402323891517
75% Corpus,3,0.01,symmetric,0.3216968204071449
75% Corpus,3,0.21000000000000002,0.01,0.31860107456893333
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.2876580826379659
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.2889635393988177
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.28896353939881764
75% Corpus,3,0.21000000000000002,0.81,0.27482226581068037
75% Corpus,3,0.21000000000000002,symmetric,0.28896353939881764
75% Corpus,3,0.41000000000000003,0.01,0.29053522199104903
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.30353420957116856
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.280335278507071
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.280335278507071
75% Corpus,3,0.41000000000000003,0.81,0.280335278507071
75% Corpus,3,0.41000000000000003,symmetric,0.280335278507071
75% Corpus,3,0.6100000000000001,0.01,0.30454911567453097
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.3078690039592054
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.2882288327358104
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.28032541056504734
75% Corpus,3,0.6100000000000001,0.81,0.3122298747185974
75% Corpus,3,0.6100000000000001,symmetric,0.29322767145960144
75% Corpus,3,0.81,0.01,0.3195914114263145
75% Corpus,3,0.81,0.21000000000000002,0.3155918230482848
75% Corpus,3,0.81,0.41000000000000003,0.26954577705657784
75% Corpus,3,0.81,0.6100000000000001,0.2709160414486828
75% Corpus,3,0.81,0.81,0.2709160414486827
75% Corpus,3,0.81,symmetric,0.27543002983289855
75% Corpus,3,symmetric,0.01,0.3060677452708798
75% Corpus,3,symmetric,0.21000000000000002,0.27584429744557554
75% Corpus,3,symmetric,0.41000000000000003,0.280335278507071
